iter	Passed	Remaining
187	1573	6797
188	1581	6786
189	1588	6771
190	1596	6761
191	1603	6746
192	1610	6734
193	1617	6720
194	1624	6706
195	1633	6700
196	1640	6685
197	1647	6673
198	1654	6657
199	1661	6646
200	1668	6632
201	1675	6619
202	1682	6606
203	1689	6592
204	1696	6580
205	1703	6565
206	1710	6553
207	1719	6547
208	1726	6535
209	1733	6521
210	1741	6511
211	1748	6498
212	1755	6484
213	1762	6473
214	1769	6460
215	1777	6450
216	1783	6436
217	1790	6424
218	1797	6411
219	1804	6398
220	1812	6387
221	1818	6373
222	1826	6363
223	1833	6350
224	1840	6339
225	1847	6326
226	1853	6313
227	1860	6300
228	1867	6288
229	1874	6277
230	1881	6264
231	1888	6253
232	1895	6240
233	1902	6228
234	1909	6216
235	1916	6203
236	1923	6192
237	1930	6179
238	1937	6169
239	1945	6160
240	1953	6151
241	1959	6138
242	1967	6129
243	1976	6123
244	1983	6113
245	1991	6105
246	1999	6095
247	2007	6085
248	2015	6078
249	2023	6069
250	2030	6058
251	2037	6047
252	2044	6035
253	2050	6023
254	2057	6011
255	2063	5998
256	2071	5988
257	2078	5976
258	2085	5966
259	2092	5955
260	2099	5944
261	2106	5933
262	2113	5921
263	2120	5912
264	2127	5899
265	2134	5889
266	2140	5877
267	2147	5866
268	2155	5856
269	2161	5845
270	2169	5835
271	2175	5823
272	2183	5813
273	2189	5801
274	2196	5790
275	2203	5780
276	2210	5768
277	2217	5758
278	2224	5747
279	2231	5737
280	2238	5726
281	2245	5716
282	2252	5706
283	2259	5696
284	2266	5686
285	2273	5675
286	2280	5666
287	2288	5657
288	2295	5647
289	2302	5638
290	2309	5627
291	2317	5619
292	2324	5609
293	2331	5599
294	2338	5588
295	2345	5578
296	2352	5567
297	2358	5556
298	2366	5549
299	2374	5540
300	2382	5533
301	2389	5523
302	2397	5514
303	2406	5509
304	2417	5507
305	2427	5504
306	2435	5498
307	2447	5499
308	2456	5494
309	2466	5489
310	2473	5479
311	2481	5471
312	2487	5460
313	2494	5450
314	2501	5439
315	2508	5430
316	2515	5418
317	2522	5409
318	2529	5399
319	2536	5389
320	2544	5381
321	2552	5373
322	2560	5366
323	2567	5355
324	2574	5348
325	2582	5338
326	2590	5331
327	2598	5323
328	2607	5318
329	2615	5309
330	2622	5301
331	2630	5293
332	2638	5284
333	2646	5276
334	2653	5267
335	2661	5259
336	2668	5250
337	2677	5244
338	2684	5234
339	2691	5224
340	2697	5214
341	2705	5204
342	2711	5194
343	2718	5184
344	2727	5177
345	2734	5168
346	2742	5160
347	2749	5152
348	2758	5146
349	2765	5136
350	2773	5128
351	2780	5117
352	2788	5110
353	2795	5101
354	2803	5093
355	2809	5082
356	2816	5072
357	2824	5064
358	2831	5054
359	2838	5046
360	2845	5037
361	2853	5029
362	2860	5019
363	2867	5010
364	2874	5000
365	2881	4990
366	2888	4981
367	2895	4973
368	2903	4964
369	2909	4954
370	2917	4945
371	2924	4936
372	2932	4928
373	2940	4921
374	2947	4913
375	2956	4906
376	2963	4896
377	2970	4888
378	2977	4878
379	2985	4870
380	2992	4861
381	3000	4854
382	3007	4844
383	3014	4835
384	3020	4825
385	3027	4815
386	3034	4806
387	3041	4797
388	3048	4788
389	3055	4779
390	3062	4770
391	3070	4762
392	3076	4752
393	3084	4744
394	3091	4734
395	3098	4726
396	3105	4716
397	3111	4706
398	3118	4697
399	3125	4688
400	3132	4679
401	3139	4670
402	3146	4661
403	3153	4652
404	3160	4642
405	3167	4634
406	3174	4624
407	3181	4616
408	3189	4608
409	3196	4599
410	3203	4590
411	3210	4581
412	3217	4572
413	3223	4563
414	3231	4554
415	3237	4545
416	3245	4536
417	3251	4527
418	3258	4518
419	3265	4509
420	3272	4499
421	3279	4491
422	3285	4481
423	3292	4473
424	3299	4464
425	3306	4455
426	3313	4446
427	3320	4437
428	3328	4430
429	3335	4421
430	3343	4413
431	3350	4405
432	3358	4397
433	3365	4389
434	3373	4382
435	3381	4374
436	3391	4368
437	3399	4361
438	3408	4355
439	3416	4348
440	3425	4341
441	3433	4334
442	3443	4329
443	3452	4323
444	3462	4317
445	3470	4310
446	3480	4305
447	3489	4300
448	3498	4293
449	3508	4288
450	3518	4282
451	3528	4278
452	3538	4272
453	3547	4266
454	3557	4260
455	3566	4254
456	3578	4251
457	3588	4246
458	3598	4241
459	3609	4236
460	3619	4231
461	3629	4226
462	3639	4221
463	3649	4216
464	3660	4211
465	3670	4206
466	3680	4200
467	3694	4199
468	3705	4195
469	3716	4190
470	3728	4187
471	3740	4183
472	3751	4179
473	3761	4174
474	3772	4170
475	3784	4166
476	3795	4161
477	3806	4157
478	3818	4153
479	3829	4149
480	3842	4145
481	3853	4141
482	3865	4137
483	3875	4132
484	3887	4128
485	3899	4124
486	3911	4120
487	3925	4118
488	3939	4116
489	3952	4113
490	3965	4110
491	3977	4106
492	3991	4104
493	4004	4101
494	4017	4098
495	4029	4094
496	4041	4090
497	4056	4088
498	4068	4084
499	4080	4080
500	4092	4075
501	4103	4071
502	4116	4067
503	4130	4065
504	4145	4062
505	4158	4059
506	4171	4056
507	4185	4054
508	4199	4050
509	4212	4047
510	4226	4044
511	4239	4040
512	4250	4035
513	4263	4031
514	4275	4026
515	4288	4022
516	4299	4016
517	4312	4012
518	4324	4008
519	4336	4002
520	4348	3997
521	4361	3993
522	4374	3990
523	4387	3985
524	4401	3981
525	4414	3978
526	4428	3975
527	4442	3971
528	4456	3967
529	4470	3964
530	4484	3961
531	4498	3957
532	4512	3953
533	4525	3948
534	4537	3943
535	4549	3937
536	4561	3932
537	4574	3928
538	4587	3923
539	4599	3918
540	4612	3912
541	4624	3907
542	4637	3902
543	4649	3897
544	4661	3891
545	4673	3886
546	4685	3880
547	4697	3874
548	4709	3868
549	4721	3863
550	4733	3857
551	4745	3851
552	4757	3845
553	4771	3841
554	4784	3835
555	4796	3830
556	4807	3823
557	4821	3819
558	4834	3813
559	4846	3808
560	4857	3800
561	4869	3794
562	4880	3788
563	4891	3781
564	4904	3775
565	4916	3770
566	4928	3763
567	4939	3757
568	4951	3750
569	4963	3744
570	4975	3738
571	4987	3731
572	5000	3726
573	5012	3720
574	5023	3713
575	5036	3707
576	5048	3700
577	5059	3694
578	5071	3687
579	5083	3681
580	5095	3674
581	5106	3667
582	5118	3660
583	5130	3654
584	5142	3647
585	5154	3641
586	5167	3635
587	5179	3628
588	5190	3622
589	5202	3614
590	5213	3608
591	5225	3601
592	5237	3594
593	5248	3587
594	5260	3580
595	5272	3574
596	5283	3566
597	5295	3559
598	5306	3552
599	5318	3545
600	5330	3539
601	5342	3532
602	5354	3525
603	5365	3517
604	5377	3511
605	5389	3504
606	5400	3496
607	5411	3489
608	5424	3482
609	5435	3475
610	5446	3467
611	5459	3461
612	5471	3453
613	5482	3446
614	5493	3439
615	5505	3431
616	5516	3424
617	5528	3417
618	5541	3410
619	5556	3405
620	5569	3399
621	5582	3392
622	5594	3385
623	5607	3378
624	5617	3370
625	5629	3363
626	5642	3356
627	5653	3348
628	5665	3341
629	5677	3334
630	5688	3326
631	5699	3318
632	5711	3311
633	5724	3304
634	5737	3298
635	5749	3290
636	5763	3284
637	5777	3278
638	5791	3271
639	5804	3264
640	5816	3257
641	5828	3250
642	5840	3242
643	5852	3235
644	5864	3228
645	5879	3221
646	5892	3215
647	5907	3208
648	5922	3203
649	5938	3197
650	5951	3190
651	5963	3182
652	5976	3175
653	5989	3169
654	6003	3162
655	6019	3156
656	6034	3150
657	6048	3143
658	6064	3138
659	6078	3131
660	6092	3124
661	6106	3117
662	6120	3111
663	6133	3103
664	6146	3096
665	6159	3089
666	6172	3081
667	6184	3073
668	6197	3066
669	6208	3057
670	6220	3050
671	6233	3042
672	6245	3034
673	6256	3026
674	6269	3018
675	6280	3010
676	6291	3001
677	6303	2993
678	6315	2985
679	6328	2978
680	6340	2969
681	6352	2961
682	6364	2953
683	6376	2945
684	6387	2937
685	6399	2929
686	6411	2920
687	6422	2912
688	6434	2904
689	6445	2896
690	6457	2887
691	6469	2879
692	6481	2871
693	6493	2863
694	6505	2854
695	6516	2846
696	6528	2838
697	6540	2829
698	6551	2821
699	6563	2812
700	6574	2804
701	6586	2795
702	6598	2787
703	6609	2779
704	6621	2770
705	6632	2762
706	6644	2753
707	6656	2745
708	6667	2736
709	6679	2728
710	6691	2719
711	6702	2711
712	6714	2702
713	6727	2694
714	6740	2686
715	6752	2678
716	6765	2670
717	6777	2662
718	6789	2653
719	6801	2644
720	6812	2636
721	6825	2628
722	6837	2619
723	6852	2612
724	6869	2605
725	6881	2597
726	6893	2588
727	6905	2580
728	6917	2571
729	6929	2563
730	6942	2554
731	6953	2545
732	6967	2537
733	6979	2529
734	6992	2520
735	7004	2512
736	7016	2504
737	7028	2495
738	7041	2486
739	7053	2478
740	7065	2469
741	7077	2460
742	7089	2452
743	7102	2444
744	7114	2435
745	7126	2426
746	7138	2417
747	7152	2409
748	7167	2401
749	7183	2394
750	7199	2387
751	7217	2380
752	7232	2372
753	7248	2364
754	7261	2356
755	7274	2347
756	7287	2339
757	7300	2330
758	7312	2321
759	7326	2313
760	7338	2304
761	7356	2297
762	7370	2289
763	7384	2281
764	7396	2272
765	7409	2263
766	7422	2254
767	7435	2246
768	7448	2237
769	7460	2228
770	7473	2219
771	7485	2210
772	7498	2202
773	7514	2194
774	7528	2185
775	7542	2177
776	7555	2168
777	7567	2159
778	7580	2150
779	7594	2142
780	7607	2133
781	7620	2124
782	7632	2115
783	7646	2106
784	7661	2098
785	7676	2090
786	7692	2081
787	7705	2072
788	7717	2063
789	7730	2055
790	7744	2046
791	7758	2037
792	7772	2028
793	7785	2019
794	7796	2010
795	7809	2001
796	7823	1992
797	7837	1983
798	7852	1975
799	7865	1966
800	7878	1957
801	7894	1948
802	7908	1940
803	7921	1931
804	7934	1922
805	7947	1912
806	7959	1903
807	7973	1894
808	7987	1885
809	8000	1876
810	8012	1867
811	8024	1857
812	8038	1848
813	8051	1839
814	8063	1830
815	8075	1820
816	8088	1811
817	8100	1802
818	8113	1793
819	8124	1783
820	8137	1774
821	8149	1764
822	8161	1755
823	8172	1745
824	8184	1736
825	8196	1726
826	8208	1717
827	8220	1707
828	8231	1698
829	8244	1688
830	8256	1679
831	8268	1669
832	8281	1660
833	8294	1651
834	8306	1641
835	8319	1632
836	8332	1622
837	8344	1613
838	8355	1603
839	8368	1594
840	8381	1584
841	8393	1574
842	8404	1565
843	8417	1555
844	8430	1546
845	8443	1536
846	8454	1527
847	8467	1517
848	8481	1508
849	8493	1498
850	8505	1489
851	8517	1479
852	8529	1469
853	8541	1460
854	8552	1450
855	8564	1440
856	8576	1431
857	8587	1421
858	8598	1411
859	8610	1401
860	8622	1391
861	8633	1382
862	8644	1372
863	8655	1362
864	8667	1352
865	8680	1343
866	8692	1333
867	8703	1323
868	8715	1313
869	8728	1304
870	8739	1294
871	8751	1284
872	8762	1274
873	8774	1265
874	8786	1255
875	8797	1245
876	8809	1235
877	8825	1226
878	8840	1217
879	8858	1207
880	8874	1198
881	8889	1189
882	8901	1179
883	8914	1169
884	8927	1160
885	8939	1150
886	8952	1140
887	8964	1130
888	8976	1120
889	8989	1111
890	9001	1101
891	9014	1091
892	9026	1081
893	9039	1071
894	9051	1061
895	9064	1052
896	9075	1042
897	9088	1032
898	9104	1022
899	9115	1012
900	9127	1002
901	9138	992
902	9153	983
903	9167	973
904	9180	963
905	9193	953
906	9207	944
907	9222	934
908	9236	924
909	9249	914
910	9263	904
911	9278	895
912	9292	885
913	9311	876
914	9327	866
915	9343	856
916	9358	847
917	9371	837
918	9386	827
919	9402	817
920	9520	816
921	9555	808
922	9574	798
923	9591	788
924	9607	778
925	9623	769
926	9637	758
927	9652	748
928	9667	738
929	9683	728
930	9700	718
931	9717	708
932	9733	698
933	9749	688
934	9765	678
935	9781	668
936	9796	658
937	9810	648
938	9831	638
939	9857	629
940	9878	619
941	9897	609
942	9914	599
943	9932	589
944	9953	579
945	9969	569
946	9982	558
947	10001	548
948	10020	538
949	10036	528
950	10052	517
951	10070	507
952	10089	497
953	10108	487
954	10125	477
955	10141	466
956	10158	456
957	10175	446
958	10193	435
959	10212	425
960	10229	415
961	10249	404
962	10264	394
963	10278	383
964	10292	373
965	10308	362
966	10325	352
967	10342	341
968	10356	331
969	10370	320
970	10385	310
971	10400	299
972	10413	288
973	10425	278
974	10439	267
975	10455	257
976	10474	246
977	10494	236
978	10512	225
979	10529	214
980	10549	204
981	10564	193
982	10580	182
983	10595	172
984	10609	161
985	10624	150
986	10644	140
987	10662	129
988	10679	118
989	10695	108
990	10710	97
991	10728	86
992	10743	75
993	10759	64
994	10774	54
995	10789	43
996	10806	32
997	10821	21
998	10836	10
999	10852	0
